subject,condition,rt_sd,rt_mean,group
s007,congruent,205.6915153,967.5227273,1
s007,incongruent,195.3516639,1019.205128,1
s014,congruent,172.4686782,648.106383,1
s014,incongruent,158.94083,791.6521739,1
s028,congruent,102.3236916,606.8958333,1
s028,incongruent,128.5748792,654.1041667,1
s096,congruent,138.3564558,718.7916667,1
s096,incongruent,183.78208,825.1276596,1
s097,congruent,88.21813712,656.8333333,1
s097,incongruent,126.4258185,759.9583333,1
s125,congruent,158.9112839,703.7826087,1
s125,incongruent,227.585658,885.5,1
s145,congruent,160.7913041,686.3913043,1
s145,incongruent,160.163955,748.2972973,1
s163,congruent,156.3904287,1190.181818,1
s163,incongruent,156.6399575,1220.775,1
s190,congruent,91.22544117,596.5625,1
s190,incongruent,139.9763817,717.6521739,1
s206,congruent,82.99775428,536.2708333,1
s206,incongruent,138.7112577,600.3333333,1
s208,congruent,98.86738799,632.0212766,1
s208,incongruent,164.0868335,826.0208333,1
s222,congruent,164.2369796,639.5416667,1
s222,incongruent,144.8541779,728.9782609,1
s240,congruent,176.7432596,507.1555556,1
s240,incongruent,165.8315898,606.4444444,1
s255,congruent,124.3951537,580.125,1
s255,incongruent,112.1070838,694.9583333,1
s265,congruent,225.1333329,727.9361702,1
s265,incongruent,285.2604304,969.8222222,2
s267,congruent,259.8051157,782.9375,2
s267,incongruent,244.0068447,1042.902439,2
s315,congruent,118.5434037,578.1875,2
s315,incongruent,170.4109651,806.7674419,2
s345,congruent,119.226992,631.7804878,2
s345,incongruent,118.8461477,734.8421053,2
s366,congruent,246.1855935,817.4888889,2
s366,incongruent,255.1518653,864.0243902,2
s375,congruent,163.5938132,758.4791667,2
s375,incongruent,212.1701756,965.3409091,2
s396,congruent,108.875961,560.2608696,2
s396,incongruent,137.5265157,580.5434783,2
s439,congruent,115.1533667,572.5,2
s439,incongruent,138.9211071,703.2765957,2
s445,congruent,153.5544662,669.1590909,2
s445,incongruent,211.7129224,706.3181818,2
s451,congruent,115.9151337,629.1702128,2
s451,incongruent,144.3132011,699.8666667,2
s467,congruent,145.3086819,623.0625,2
s467,incongruent,175.5592807,759.9361702,2
s490,congruent,182.8985774,685.0625,2
s490,incongruent,160.6546189,767.4680851,2
s504,congruent,138.4073872,563.8695652,2
s504,incongruent,176.2348414,613.2391304,2
s529,congruent,168.5147138,625.0625,2
s529,incongruent,240.7917456,752.9565217,2
s535,congruent,244.808087,828.5227273,2
s535,incongruent,237.013455,993.8717949,2
s545,congruent,113.2370889,648,2
s545,incongruent,180.0547672,822.0888889,2
