"subject","congruent","incongruent"
"s007",967.522727272727,1019.20512820513
"s014",648.106382978723,791.652173913043
"s028",606.895833333333,654.104166666667
"s096",718.791666666667,825.127659574468
"s097",656.833333333333,759.958333333333
"s125",703.782608695652,885.5
"s145",686.391304347826,748.297297297297
"s163",1190.18181818182,1220.775
"s190",596.5625,717.652173913043
"s206",536.270833333333,600.333333333333
"s208",632.021276595745,826.020833333333
"s222",639.541666666667,728.978260869565
"s240",507.155555555556,606.444444444444
"s255",580.125,694.958333333333
"s265",727.936170212766,969.822222222222
"s267",782.9375,1042.90243902439
"s315",578.1875,806.767441860465
"s345",631.780487804878,734.842105263158
"s366",817.488888888889,864.024390243902
"s375",758.479166666667,965.340909090909
"s396",560.260869565217,580.54347826087
"s439",572.5,703.276595744681
"s445",669.159090909091,706.318181818182
"s451",629.170212765957,699.866666666667
"s467",623.0625,759.936170212766
"s490",685.0625,767.468085106383
"s504",563.869565217391,613.239130434783
"s529",625.0625,752.95652173913
"s535",828.522727272727,993.871794871795
"s545",648,822.088888888889
