"condition","correct","key_press","rt","trial_ids","subj_id"
1,"1",71,502,6,"06"
0,"1",66,635,12,"06"
0,"1",71,528,15,"06"
0,"1",82,627,18,"06"
0,"1",71,670,20,"06"
0,"1",82,640,28,"06"
1,"1",66,930,29,"06"
1,"1",82,606,31,"06"
1,"1",66,574,32,"06"
0,"1",82,598,40,"06"
1,"1",66,833,43,"06"
0,"1",66,712,53,"06"
1,"1",66,687,58,"06"
0,"1",82,629,62,"06"
0,"1",82,455,66,"06"
1,"1",71,747,68,"06"
1,"1",82,472,77,"06"
0,"1",82,596,85,"06"
0,"1",66,994,86,"06"
0,"1",82,853,94,"06"
0,"1",82,1287,6,"54"
0,"1",66,883,12,"54"
0,"1",66,1193,15,"54"
0,"1",71,968,18,"54"
1,"1",66,650,20,"54"
1,"1",82,635,28,"54"
1,"1",82,705,29,"54"
1,"1",71,660,31,"54"
1,"1",82,568,32,"54"
0,"1",66,700,40,"54"
0,"1",82,1083,43,"54"
1,"1",66,620,53,"54"
0,"1",71,1100,58,"54"
1,"1",71,1173,62,"54"
1,"1",66,675,66,"54"
0,"1",71,805,68,"54"
1,"1",71,717,77,"54"
1,"1",66,825,85,"54"
0,"1",66,667,86,"54"
0,"1",82,650,94,"54"
0,"1",82,890,6,"16"
0,"1",71,692,12,"16"
1,"1",66,699,15,"16"
1,"1",71,740,18,"16"
1,"1",66,704,20,"16"
1,"1",82,649,28,"16"
0,"1",71,934,29,"16"
0,"0",71,1262,31,"16"
1,"1",82,627,32,"16"
1,"1",82,671,40,"16"
0,"1",71,685,43,"16"
1,"1",66,902,53,"16"
0,"1",66,628,58,"16"
0,"1",71,698,62,"16"
0,"1",66,1101,66,"16"
1,"1",66,808,68,"16"
0,"1",66,1009,77,"16"
1,"1",82,624,85,"16"
0,"1",66,992,86,"16"
0,"1",82,1201,94,"16"
1,"0",71,779,6,"30"
0,"1",66,586,12,"30"
0,"1",71,1142,15,"30"
1,"1",66,1017,18,"30"
0,"1",66,919,20,"30"
1,"1",71,944,28,"30"
1,"1",82,730,29,"30"
0,"1",82,943,31,"30"
0,"1",66,1270,32,"30"
1,"1",71,1371,40,"30"
0,"1",71,1183,43,"30"
0,"1",82,753,53,"30"
1,"1",71,511,58,"30"
0,"1",66,839,62,"30"
1,"1",82,593,66,"30"
1,"1",71,984,68,"30"
0,"1",82,1366,77,"30"
1,"1",66,904,85,"30"
0,"1",82,629,86,"30"
1,"1",66,865,6,"70"
0,"1",71,860,12,"70"
1,"1",82,622,15,"70"
0,"1",71,792,18,"70"
0,"1",82,879,20,"70"
1,"1",71,630,28,"70"
0,"1",66,684,29,"70"
1,"1",66,737,31,"70"
1,"1",71,523,32,"70"
0,"1",71,414,40,"70"
0,"1",82,594,43,"70"
1,"1",66,563,53,"70"
1,"1",66,548,58,"70"
1,"1",66,590,62,"70"
1,"1",66,624,66,"70"
0,"1",82,502,68,"70"
1,"1",71,627,77,"70"
1,"1",71,562,85,"70"
1,"1",82,559,86,"70"
0,"1",66,468,94,"70"
